"filename", "language", "Python", "JSON", "XML", "C++", "CMake", "YAML", "CMake Cache", "Log", "Markdown", "C", "PostCSS", "Batch", "JavaScript", "HTML", "Shell Script", "Makefile", "comment", "blank", "total"
"c:\Users\nukec\Documents\GitHub\voxelstation13\CMakeLists.txt", "CMake", 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 220
"c:\Users\nukec\Documents\GitHub\voxelstation13\CODEBASE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1106, 0, 0, 0, 0, 0, 0, 0, 0, 315, 1421
"c:\Users\nukec\Documents\GitHub\voxelstation13\DESIGN.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 410, 0, 0, 0, 0, 0, 0, 0, 0, 121, 531
"c:\Users\nukec\Documents\GitHub\voxelstation13\build.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\ALL_BUILD.vcxproj", "XML", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 501
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\CMakeFiles\4.2.0\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 105
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\CMakeFiles\4.2.0\CMakeRCCompiler.cmake", "CMake", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\CMakeFiles\4.2.0\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\CMakeFiles\4.2.0\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 158, 950
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\CMakeFiles\4.2.0\CompilerIdCXX\CompilerIdCXX.vcxproj", "XML", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 73
